qid,query,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10
1,Q: What are the most common chronic diseases? What effects do chronic diseases have for the society and the individual?\nA:,Chronic diseases have a negative impact on the society and the individual.,Chronic diseases have negative effects on the individual and society as well.,"Chronic diseases are costly to society, and their consequences affect the individual as well.",Chronic diseases have a cumulative effect and can be a significant cost to society.,Chronic diseases result in a lower quality of life for the person and the society.,"Chronic diseases have a negative effect on the economy, since many chronic diseases have a significant economic impact.","Chronic diseases have negative effects on the economy, the individual, and the community.","Chronic diseases have an enormous effect on the individual and society, causing loss of quality of life, impairment of social interaction and productivity, and increased medical costs.",chronic diseases have a devastating effect on society and the individual.,"Chronic diseases are diseases that do not respond to a single type of treatment, and therefore are costly and difficult to treat."
8,Q: best apps daily activity exercise diabetes\nA:,Appian,Diabetes Self-Management,YouPub,Diabetes Self-Management,DailyBurn,Diabetic Life: The Journal of Diabetes & Health,Diabetes Tracker,Apple Watch,The Diabetes Action Plan,Android Health
22,Q: my risk for developing type 2 diabetes\nA:,77%,no,"may increase with age, weight gain, and certain medications",High,no,5–15%,"if you are overweight or obese, have high blood pressure, have a family history of diabetes, are overweight or obese, or have a weakened immune system.",higher risk,high,yes
35,Q: Is a ketogenic / keto diet suitable for people with diabetes?\nA:,Ketogenic diets are not recommended for people with diabetes.,Ketogenic diets have been found to be beneficial in Type II diabetes.,"A ketogenic diet (or keto diet) is a low-calorie, high-fat diet that relies on fat for energy.","This is not recommended, but it can be used in combination with insulin therapy if necessary.",The ketogenic diet is not suitable for people with diabetes.,"This diet is very high in fat and low in carbs, making it suitable for people with diabetes.",No,Ketogenic diets can be used to reduce a person's blood sugar levels.n,"Ketogenic / keto diets are very low in carbohydrates, and therefore low in sugar.","No, the ketogenic diet is not suitable for people with diabetes."
45,Q: Can diabetes be cured?\nA:,No,(iv),Yes,No,No.,nn,(D).,"No, it is treatable with lifestyle changes and medication.","It is possible to reverse diabetes, but it is not currently possible to cure.",d).
51,Q: What is holistic medicine and what does it include?\nA:,"holistic medicine is a medical approach that recognizes the interconnectedness of the body, mind, and spirit",[iv],(d).,"holistic medicine is a medical approach that looks at the whole person, including the physical, emotional, mental, and spiritual aspects of the human condition.","holistic medicine is a system of care that treats the whole person, including all aspects of their health.",holistic medicine is a type of holistic practice that embraces the whole person and treats the person as a whole,"holistic medicine is a type of medicine in which the treatment focuses on the whole person, rather than on treating one part of the body at a time.","a system of health care that views disease as a complex, interconnected system of symptoms and causes that affect the whole person, and treats these causes and their effects as holistic, rather than as isolated medical problems",(D).,(a).
52,Q: What are the most common mental health problems? How can I prevent or manage the most common mental health problems?\nA:,"A therapist can help you identify and manage the causes of mental health issues, and work with you to develop strategies to manage them.","Mental health problems may involve emotional, cognitive, and behavioral disorders.","Mental health problems are problems that can affect your ability to think, feel, and behave.nMental health issues are the most common reason that people seek help. The most common mental health problems that people seek help for are:nAnxietynLoss of control of emotionsnBeginner's mental illnessnPanic attacksnDepressionnImbalance in moodnStressnDysthymianOdd thoughtsn","Mental health problems include addiction, depression, anxiety, psychosis, and substance abuse.","Mental health problems, also known as mental illnesses, include depression, anxiety, obsessive-compulsive disorder, and substance abuse.","Mental health problems affecting the mental wellbeing of the general population include depression, anxiety, psychosis, bipolar disorder, addictions, and personality disorders.","People with mental health problems are more likely to be diagnosed with a mental disorder than people without mental health problems, and those with mental health problems are more likely to seek treatment.","Mental health problems are a common factor in suicide, depression, substance use, and other health problems. If you are concerned about your mental health, you may want to talk to your doctor or health care provider.","Depression, anxiety and mood disorders are common mental health problems, affecting one in six people.",nAs many as 80 million Americans have mental health conditions that are either untreated or undertreated.
53,Q: what is psychotherapy?\nA:,therapy,Psychotherapy is a therapy that involves talking with a person to try to help them understand how they have come to be where they are and how they are feeling and how they want to change.,counseling,a discussion of an individual's mental state and its treatment,Psychotherapy is a therapy that uses the knowledge and skills of the therapist to help the individual.,a conversation about feelings and relationships,"a person who seeks to change one's life, such as through behavioural or cognitive changes",Psychotherapy is a type of therapy that deals with the mental state of an individual or group.,"A talk therapy, also called psychotherapy, is a treatment for mental health problems.","a therapist who uses psychoanalysis to help a client overcome their problems, thereby improving their lives"
54,Q: What does multiple sclerosis diagnosis include? What does it change?\nA:,Multiple sclerosis (MS) is a disease affecting the central nervous system and brain.,"Multiple sclerosis (MS) is an autoimmune disease that causes progressive demyelination of myelin sheaths and the subsequent loss of myelin sheaths, resulting in a loss of the myelin sheath.",Multiple sclerosis (MS) is a disease affecting the central nervous system and causing progressive loss of myelin.,Multiple sclerosis is an autoinflammatory disease of the central nervous system.,"Multiple sclerosis (MS) is a chronic, progressive, and often fatal neurodegenerative disease affecting the central nervous system .","Multiple sclerosis (MS) is a neurological condition in which the myelin sheath around nerve fibres is damaged, causing a loss of function.","Multiple sclerosis (MS) is an autoimmune disease that causes the immune system to attack itself and change the way the body's cells and tissues function, leading to loss of the ability to fight off infection.","Multiple sclerosis (MS) is a disease in which the diseased brain cells, myelin sheath, and myelin sheath cells are destroyed.","Multiple sclerosis (MS) is a disease that causes a change in the body's immune system, resulting in the destruction of healthy tissue and a reduction in the ability to fight infection.",Multiple sclerosis is a neurological condition characterized by a progressive loss of motor and sensory abilities in a person.
55,Q: How to manage multiple sclerosis?\nA:,Multiple Sclerosis is a disease of the central nervous system,Symptomatic therapy for MS includes medications to treat the autoimmune disease.,"Multiple sclerosis is an autoimmune disease that attacks the central nervous system and can cause a range of symptoms including weakness, numbness, loss of coordination, vision problems, and a loss of the ability to walk.",Take medicines to manage the disease.,Multiple sclerosis is a disease in which the immune system attacks healthy tissue.,You may be able to manage your MS with medications.,Multiple sclerosis is a disease that affects the central nervous system.,"To treat multiple sclerosis, you can have many things done to your body.","With treatment, the disease is usually able to be managed well.","By limiting the use of alcohol and drugs, and taking medication, the disease can be managed."
